Date,Year,Month,Month Name,Month Short,Quarter,Day,Day of Week,Day Name,Week of Year,Is Weekend
2024-01-01,2024,1,January,Jan,Q1,1,0,Monday,1,False
2024-01-02,2024,1,January,Jan,Q1,2,1,Tuesday,1,False
2024-01-03,2024,1,January,Jan,Q1,3,2,Wednesday,1,False
2024-01-04,2024,1,January,Jan,Q1,4,3,Thursday,1,False
2024-01-05,2024,1,January,Jan,Q1,5,4,Friday,1,False
2024-01-06,2024,1,January,Jan,Q1,6,5,Saturday,1,True
2024-01-07,2024,1,January,Jan,Q1,7,6,Sunday,1,True
2024-01-08,2024,1,January,Jan,Q1,8,0,Monday,2,False
2024-01-09,2024,1,January,Jan,Q1,9,1,Tuesday,2,False
2024-01-10,2024,1,January,Jan,Q1,10,2,Wednesday,2,False
2024-01-11,2024,1,January,Jan,Q1,11,3,Thursday,2,False
2024-01-12,2024,1,January,Jan,Q1,12,4,Friday,2,False
2024-01-13,2024,1,January,Jan,Q1,13,5,Saturday,2,True
2024-01-14,2024,1,January,Jan,Q1,14,6,Sunday,2,True
2024-01-15,2024,1,January,Jan,Q1,15,0,Monday,3,False
2024-01-16,2024,1,January,Jan,Q1,16,1,Tuesday,3,False
2024-01-17,2024,1,January,Jan,Q1,17,2,Wednesday,3,False
2024-01-18,2024,1,January,Jan,Q1,18,3,Thursday,3,False
2024-01-19,2024,1,January,Jan,Q1,19,4,Friday,3,False
2024-01-20,2024,1,January,Jan,Q1,20,5,Saturday,3,True
2024-01-21,2024,1,January,Jan,Q1,21,6,Sunday,3,True
2024-01-22,2024,1,January,Jan,Q1,22,0,Monday,4,False
2024-01-23,2024,1,January,Jan,Q1,23,1,Tuesday,4,False
2024-01-24,2024,1,January,Jan,Q1,24,2,Wednesday,4,False
2024-01-25,2024,1,January,Jan,Q1,25,3,Thursday,4,False
2024-01-26,2024,1,January,Jan,Q1,26,4,Friday,4,False
2024-01-27,2024,1,January,Jan,Q1,27,5,Saturday,4,True
2024-01-28,2024,1,January,Jan,Q1,28,6,Sunday,4,True
2024-01-29,2024,1,January,Jan,Q1,29,0,Monday,5,False
2024-01-30,2024,1,January,Jan,Q1,30,1,Tuesday,5,False
2024-01-31,2024,1,January,Jan,Q1,31,2,Wednesday,5,False
2024-02-01,2024,2,February,Feb,Q1,1,3,Thursday,5,False
2024-02-02,2024,2,February,Feb,Q1,2,4,Friday,5,False
2024-02-03,2024,2,February,Feb,Q1,3,5,Saturday,5,True
2024-02-04,2024,2,February,Feb,Q1,4,6,Sunday,5,True
2024-02-05,2024,2,February,Feb,Q1,5,0,Monday,6,False
2024-02-06,2024,2,February,Feb,Q1,6,1,Tuesday,6,False
2024-02-07,2024,2,February,Feb,Q1,7,2,Wednesday,6,False
2024-02-08,2024,2,February,Feb,Q1,8,3,Thursday,6,False
2024-02-09,2024,2,February,Feb,Q1,9,4,Friday,6,False
2024-02-10,2024,2,February,Feb,Q1,10,5,Saturday,6,True
2024-02-11,2024,2,February,Feb,Q1,11,6,Sunday,6,True
2024-02-12,2024,2,February,Feb,Q1,12,0,Monday,7,False
2024-02-13,2024,2,February,Feb,Q1,13,1,Tuesday,7,False
2024-02-14,2024,2,February,Feb,Q1,14,2,Wednesday,7,False
2024-02-15,2024,2,February,Feb,Q1,15,3,Thursday,7,False
2024-02-16,2024,2,February,Feb,Q1,16,4,Friday,7,False
2024-02-17,2024,2,February,Feb,Q1,17,5,Saturday,7,True
2024-02-18,2024,2,February,Feb,Q1,18,6,Sunday,7,True
2024-02-19,2024,2,February,Feb,Q1,19,0,Monday,8,False
2024-02-20,2024,2,February,Feb,Q1,20,1,Tuesday,8,False
2024-02-21,2024,2,February,Feb,Q1,21,2,Wednesday,8,False
2024-02-22,2024,2,February,Feb,Q1,22,3,Thursday,8,False
2024-02-23,2024,2,February,Feb,Q1,23,4,Friday,8,False
2024-02-24,2024,2,February,Feb,Q1,24,5,Saturday,8,True
2024-02-25,2024,2,February,Feb,Q1,25,6,Sunday,8,True
2024-02-26,2024,2,February,Feb,Q1,26,0,Monday,9,False
2024-02-27,2024,2,February,Feb,Q1,27,1,Tuesday,9,False
2024-02-28,2024,2,February,Feb,Q1,28,2,Wednesday,9,False
2024-02-29,2024,2,February,Feb,Q1,29,3,Thursday,9,False
2024-03-01,2024,3,March,Mar,Q1,1,4,Friday,9,False
2024-03-02,2024,3,March,Mar,Q1,2,5,Saturday,9,True
2024-03-03,2024,3,March,Mar,Q1,3,6,Sunday,9,True
2024-03-04,2024,3,March,Mar,Q1,4,0,Monday,10,False
2024-03-05,2024,3,March,Mar,Q1,5,1,Tuesday,10,False
2024-03-06,2024,3,March,Mar,Q1,6,2,Wednesday,10,False
2024-03-07,2024,3,March,Mar,Q1,7,3,Thursday,10,False
2024-03-08,2024,3,March,Mar,Q1,8,4,Friday,10,False
2024-03-09,2024,3,March,Mar,Q1,9,5,Saturday,10,True
2024-03-10,2024,3,March,Mar,Q1,10,6,Sunday,10,True
2024-03-11,2024,3,March,Mar,Q1,11,0,Monday,11,False
2024-03-12,2024,3,March,Mar,Q1,12,1,Tuesday,11,False
2024-03-13,2024,3,March,Mar,Q1,13,2,Wednesday,11,False
2024-03-14,2024,3,March,Mar,Q1,14,3,Thursday,11,False
2024-03-15,2024,3,March,Mar,Q1,15,4,Friday,11,False
2024-03-16,2024,3,March,Mar,Q1,16,5,Saturday,11,True
2024-03-17,2024,3,March,Mar,Q1,17,6,Sunday,11,True
2024-03-18,2024,3,March,Mar,Q1,18,0,Monday,12,False
2024-03-19,2024,3,March,Mar,Q1,19,1,Tuesday,12,False
2024-03-20,2024,3,March,Mar,Q1,20,2,Wednesday,12,False
2024-03-21,2024,3,March,Mar,Q1,21,3,Thursday,12,False
2024-03-22,2024,3,March,Mar,Q1,22,4,Friday,12,False
2024-03-23,2024,3,March,Mar,Q1,23,5,Saturday,12,True
2024-03-24,2024,3,March,Mar,Q1,24,6,Sunday,12,True
2024-03-25,2024,3,March,Mar,Q1,25,0,Monday,13,False
2024-03-26,2024,3,March,Mar,Q1,26,1,Tuesday,13,False
2024-03-27,2024,3,March,Mar,Q1,27,2,Wednesday,13,False
2024-03-28,2024,3,March,Mar,Q1,28,3,Thursday,13,False
2024-03-29,2024,3,March,Mar,Q1,29,4,Friday,13,False
2024-03-30,2024,3,March,Mar,Q1,30,5,Saturday,13,True
2024-03-31,2024,3,March,Mar,Q1,31,6,Sunday,13,True
2024-04-01,2024,4,April,Apr,Q2,1,0,Monday,14,False
2024-04-02,2024,4,April,Apr,Q2,2,1,Tuesday,14,False
2024-04-03,2024,4,April,Apr,Q2,3,2,Wednesday,14,False
2024-04-04,2024,4,April,Apr,Q2,4,3,Thursday,14,False
2024-04-05,2024,4,April,Apr,Q2,5,4,Friday,14,False
2024-04-06,2024,4,April,Apr,Q2,6,5,Saturday,14,True
2024-04-07,2024,4,April,Apr,Q2,7,6,Sunday,14,True
2024-04-08,2024,4,April,Apr,Q2,8,0,Monday,15,False
2024-04-09,2024,4,April,Apr,Q2,9,1,Tuesday,15,False
2024-04-10,2024,4,April,Apr,Q2,10,2,Wednesday,15,False
2024-04-11,2024,4,April,Apr,Q2,11,3,Thursday,15,False
2024-04-12,2024,4,April,Apr,Q2,12,4,Friday,15,False
2024-04-13,2024,4,April,Apr,Q2,13,5,Saturday,15,True
2024-04-14,2024,4,April,Apr,Q2,14,6,Sunday,15,True
2024-04-15,2024,4,April,Apr,Q2,15,0,Monday,16,False
2024-04-16,2024,4,April,Apr,Q2,16,1,Tuesday,16,False
2024-04-17,2024,4,April,Apr,Q2,17,2,Wednesday,16,False
2024-04-18,2024,4,April,Apr,Q2,18,3,Thursday,16,False
2024-04-19,2024,4,April,Apr,Q2,19,4,Friday,16,False
2024-04-20,2024,4,April,Apr,Q2,20,5,Saturday,16,True
2024-04-21,2024,4,April,Apr,Q2,21,6,Sunday,16,True
2024-04-22,2024,4,April,Apr,Q2,22,0,Monday,17,False
2024-04-23,2024,4,April,Apr,Q2,23,1,Tuesday,17,False
2024-04-24,2024,4,April,Apr,Q2,24,2,Wednesday,17,False
2024-04-25,2024,4,April,Apr,Q2,25,3,Thursday,17,False
2024-04-26,2024,4,April,Apr,Q2,26,4,Friday,17,False
2024-04-27,2024,4,April,Apr,Q2,27,5,Saturday,17,True
2024-04-28,2024,4,April,Apr,Q2,28,6,Sunday,17,True
2024-04-29,2024,4,April,Apr,Q2,29,0,Monday,18,False
2024-04-30,2024,4,April,Apr,Q2,30,1,Tuesday,18,False
2024-05-01,2024,5,May,May,Q2,1,2,Wednesday,18,False
2024-05-02,2024,5,May,May,Q2,2,3,Thursday,18,False
2024-05-03,2024,5,May,May,Q2,3,4,Friday,18,False
2024-05-04,2024,5,May,May,Q2,4,5,Saturday,18,True
2024-05-05,2024,5,May,May,Q2,5,6,Sunday,18,True
2024-05-06,2024,5,May,May,Q2,6,0,Monday,19,False
2024-05-07,2024,5,May,May,Q2,7,1,Tuesday,19,False
2024-05-08,2024,5,May,May,Q2,8,2,Wednesday,19,False
2024-05-09,2024,5,May,May,Q2,9,3,Thursday,19,False
2024-05-10,2024,5,May,May,Q2,10,4,Friday,19,False
2024-05-11,2024,5,May,May,Q2,11,5,Saturday,19,True
2024-05-12,2024,5,May,May,Q2,12,6,Sunday,19,True
2024-05-13,2024,5,May,May,Q2,13,0,Monday,20,False
2024-05-14,2024,5,May,May,Q2,14,1,Tuesday,20,False
2024-05-15,2024,5,May,May,Q2,15,2,Wednesday,20,False
2024-05-16,2024,5,May,May,Q2,16,3,Thursday,20,False
2024-05-17,2024,5,May,May,Q2,17,4,Friday,20,False
2024-05-18,2024,5,May,May,Q2,18,5,Saturday,20,True
2024-05-19,2024,5,May,May,Q2,19,6,Sunday,20,True
2024-05-20,2024,5,May,May,Q2,20,0,Monday,21,False
2024-05-21,2024,5,May,May,Q2,21,1,Tuesday,21,False
2024-05-22,2024,5,May,May,Q2,22,2,Wednesday,21,False
2024-05-23,2024,5,May,May,Q2,23,3,Thursday,21,False
2024-05-24,2024,5,May,May,Q2,24,4,Friday,21,False
2024-05-25,2024,5,May,May,Q2,25,5,Saturday,21,True
2024-05-26,2024,5,May,May,Q2,26,6,Sunday,21,True
2024-05-27,2024,5,May,May,Q2,27,0,Monday,22,False
2024-05-28,2024,5,May,May,Q2,28,1,Tuesday,22,False
2024-05-29,2024,5,May,May,Q2,29,2,Wednesday,22,False
2024-05-30,2024,5,May,May,Q2,30,3,Thursday,22,False
2024-05-31,2024,5,May,May,Q2,31,4,Friday,22,False
2024-06-01,2024,6,June,Jun,Q2,1,5,Saturday,22,True
2024-06-02,2024,6,June,Jun,Q2,2,6,Sunday,22,True
2024-06-03,2024,6,June,Jun,Q2,3,0,Monday,23,False
2024-06-04,2024,6,June,Jun,Q2,4,1,Tuesday,23,False
2024-06-05,2024,6,June,Jun,Q2,5,2,Wednesday,23,False
2024-06-06,2024,6,June,Jun,Q2,6,3,Thursday,23,False
2024-06-07,2024,6,June,Jun,Q2,7,4,Friday,23,False
2024-06-08,2024,6,June,Jun,Q2,8,5,Saturday,23,True
2024-06-09,2024,6,June,Jun,Q2,9,6,Sunday,23,True
2024-06-10,2024,6,June,Jun,Q2,10,0,Monday,24,False
2024-06-11,2024,6,June,Jun,Q2,11,1,Tuesday,24,False
2024-06-12,2024,6,June,Jun,Q2,12,2,Wednesday,24,False
2024-06-13,2024,6,June,Jun,Q2,13,3,Thursday,24,False
2024-06-14,2024,6,June,Jun,Q2,14,4,Friday,24,False
2024-06-15,2024,6,June,Jun,Q2,15,5,Saturday,24,True
2024-06-16,2024,6,June,Jun,Q2,16,6,Sunday,24,True
2024-06-17,2024,6,June,Jun,Q2,17,0,Monday,25,False
2024-06-18,2024,6,June,Jun,Q2,18,1,Tuesday,25,False
2024-06-19,2024,6,June,Jun,Q2,19,2,Wednesday,25,False
2024-06-20,2024,6,June,Jun,Q2,20,3,Thursday,25,False
2024-06-21,2024,6,June,Jun,Q2,21,4,Friday,25,False
2024-06-22,2024,6,June,Jun,Q2,22,5,Saturday,25,True
2024-06-23,2024,6,June,Jun,Q2,23,6,Sunday,25,True
2024-06-24,2024,6,June,Jun,Q2,24,0,Monday,26,False
2024-06-25,2024,6,June,Jun,Q2,25,1,Tuesday,26,False
2024-06-26,2024,6,June,Jun,Q2,26,2,Wednesday,26,False
2024-06-27,2024,6,June,Jun,Q2,27,3,Thursday,26,False
2024-06-28,2024,6,June,Jun,Q2,28,4,Friday,26,False
2024-06-29,2024,6,June,Jun,Q2,29,5,Saturday,26,True
