Order_ID,Order_Date,Month,Year,Category_Type,Category,Item_Name,Quantity,Unit_Price_$,Total_Amount_$,Food_Cost_$,Labour_Cost_$,Profit_$,Delivery_Partner,Payment_Mode
O00001,11/24/25,November,2025,Main Menu,Veg Mania,Corn Supreme,1,13.75,13.75,4.5,2.45,6.8,Zomato,Card
O00002,2/22/25,February,2025,Beverage,Juice,Mixed Fruit Juice,3,6.23,18.69,5.77,3.49,9.43,Swiggy,Cash
O00003,4/22/25,April,2025,Main Menu,Veg Mania,Mushroom Magic,2,17.08,34.16,10.54,5.88,17.74,In-Store,Card
O00004,10/29/25,October,2025,Appetizer,Burger,Veg Cheese Burger,4,6.01,24.04,7.87,3.14,13.03,In-Store,UPI
O00005,3/21/25,March,2025,Main Menu,Club Veg,Triple Cheese Club,1,14.32,14.32,5.42,2,6.9,Swiggy,Online
O00006,7/3/25,July,2025,Appetizer,French Fries,Cheese Fries,3,13.79,41.37,15.24,7.39,18.74,Swiggy,Online
O00007,3/5/25,March,2025,Appetizer,Burger,Paneer Burger,4,10.11,40.44,14.96,7.52,17.96,UberEats,Card
O00008,2/5/25,February,2025,Main Menu,Sandwich,Paneer Tikka,2,14.5,29,12.83,5.7,10.47,Swiggy,Card
O00009,7/14/25,July,2025,Appetizer,Macaroni,Veg Loaded Mac,1,8.44,8.44,2.82,1.05,4.57,Zomato,UPI
O00010,4/18/25,April,2025,Beverage,Hot Drinks,Espresso,4,7.05,28.2,8.61,5.38,14.21,Zomato,Card
O00011,8/25/25,August,2025,Appetizer,Macaroni,Cheese Mac,2,11.3,22.6,8.22,2.73,11.65,UberEats,Cash
O00012,1/17/25,January,2025,Appetizer,Macaroni,Veg Loaded Mac,2,6.25,12.5,5.2,2.42,4.88,Swiggy,Card
O00013,6/11/25,June,2025,Main Menu,Pizza,Veggie Paradise,4,15.98,63.92,22.31,10.04,31.57,In-Store,Card
O00014,3/13/25,March,2025,Main Menu,Club Veg,Corn & Mayo Club,1,19.61,19.61,7.03,2.49,10.09,In-Store,UPI
O00015,3/12/25,March,2025,Beverage,Hot Drinks,Espresso,4,5.78,23.12,9.04,2.95,11.13,Swiggy,Cash
O00016,11/18/25,November,2025,Main Menu,Pizza,Margherita,1,11.65,11.65,5.22,2.06,4.37,In-Store,Online
O00017,8/28/25,August,2025,Beverage,Hot Drinks,Espresso,3,4.03,12.09,3.99,2.07,6.03,Swiggy,UPI
O00018,6/24/25,June,2025,Main Menu,Club Veg,Corn & Mayo Club,2,16.06,32.12,11.36,3.58,17.18,Zomato,Online
O00019,5/15/25,May,2025,Beverage,Juice,Orange Juice,2,7.12,14.24,4.48,1.95,7.81,UberEats,Card
O00020,7/11/25,July,2025,Main Menu,Veg Mania,Corn Supreme,4,16.66,66.64,26.37,12.58,27.69,In-Store,Cash
O00021,7/5/25,July,2025,Appetizer,Burger,Aloo Tikki Burger,2,6.96,13.92,5.95,2.4,5.57,Zomato,Cash
O00022,9/6/25,September,2025,Main Menu,Sandwich,Cheese Chilli,3,12.56,37.68,14.26,5.38,18.04,In-Store,Card
O00023,9/28/25,September,2025,Beverage,Hot Drinks,Cappuccino,3,4.54,13.62,5.92,2.01,5.69,Zomato,UPI
O00024,12/10/25,December,2025,Beverage,Hot Drinks,Green Tea,1,7.48,7.48,2.52,1.05,3.91,In-Store,Cash
O00025,4/26/25,April,2025,Main Menu,Club Veg,Triple Cheese Club,4,12.29,49.16,19.16,8.33,21.67,Zomato,Card
O00026,2/6/25,February,2025,Beverage,Juice,Mango Juice,2,7.12,14.24,5.62,2.66,5.96,Swiggy,Cash
O00027,2/6/25,February,2025,Beverage,Juice,Watermelon Juice,2,4.93,9.86,4.26,1.31,4.29,In-Store,Card
O00028,3/9/25,March,2025,Beverage,Hot Drinks,Cappuccino,2,5.78,11.56,3.66,1.42,6.48,In-Store,Online
O00029,2/18/25,February,2025,Main Menu,Pizza,Peppy Paneer,1,18.18,18.18,6.29,2.12,9.77,In-Store,Online
O00030,1/28/25,January,2025,Beverage,Juice,Orange Juice,1,6.42,6.42,2.04,0.86,3.52,In-Store,UPI
O00031,5/8/25,May,2025,Main Menu,Sandwich,Classic Veg,4,13.23,52.92,20.31,7.43,25.18,Zomato,Online
O00032,5/23/25,May,2025,Appetizer,Burger,Aloo Tikki Burger,4,8.03,32.12,10.85,4.81,16.46,In-Store,Cash
O00033,11/30/25,November,2025,Beverage,Juice,Orange Juice,1,5.42,5.42,1.84,1.07,2.51,Zomato,Card
O00034,9/6/25,September,2025,Appetizer,Burger,Spicy Bean Burger,4,6.26,25.04,10.92,3.1,11.02,Swiggy,Card
O00035,1/2/25,January,2025,Appetizer,Macaroni,Spicy Mac,4,9.92,39.68,15.19,6.32,18.17,UberEats,Online
O00036,10/12/25,October,2025,Beverage,Hot Drinks,Cappuccino,1,5.85,5.85,2.39,0.8,2.66,Zomato,UPI
O00037,1/30/25,January,2025,Beverage,Juice,Watermelon Juice,3,7.17,21.51,9.09,3.87,8.55,Swiggy,Cash
O00038,9/2/25,September,2025,Beverage,Juice,Orange Juice,4,6.54,26.16,8.01,4.16,13.99,Swiggy,Card
O00039,11/1/25,November,2025,Main Menu,Sandwich,Classic Veg,3,10.17,30.51,12.86,4.11,13.54,Swiggy,Card
O00040,11/1/25,November,2025,Main Menu,Veg Mania,Veg Overload,4,19.41,77.64,27.8,15.04,34.8,UberEats,UPI
O00041,12/9/25,December,2025,Beverage,Hot Drinks,Cappuccino,1,5.71,5.71,1.89,0.88,2.94,UberEats,Online
O00042,12/10/25,December,2025,Beverage,Hot Drinks,Green Tea,4,5.14,20.56,8.69,3.2,8.67,UberEats,Cash
O00043,8/23/25,August,2025,Beverage,Juice,Orange Juice,4,5.21,20.84,9.27,3.25,8.32,Zomato,UPI
O00044,6/28/25,June,2025,Main Menu,Sandwich,Paneer Tikka,1,11.89,11.89,4.19,2.05,5.65,UberEats,Card
O00045,10/6/25,October,2025,Beverage,Hot Drinks,Espresso,4,8.44,33.76,14.62,6.25,12.89,UberEats,Cash
O00046,5/16/25,May,2025,Main Menu,Veg Mania,Mushroom Magic,4,17.85,71.4,27.91,7.21,36.28,UberEats,UPI
O00047,4/18/25,April,2025,Beverage,Hot Drinks,Cappuccino,1,7.32,7.32,2.51,0.96,3.85,UberEats,Online
O00048,1/27/25,January,2025,Main Menu,Pizza,Peppy Paneer,1,14.48,14.48,4.83,2.48,7.17,Swiggy,Cash
O00049,3/8/25,March,2025,Beverage,Hot Drinks,Cappuccino,4,5.63,22.52,7.99,3.93,10.6,In-Store,Online
O00050,1/5/25,January,2025,Main Menu,Veg Mania,Mushroom Magic,4,13.08,52.32,16.43,7.16,28.73,Swiggy,UPI
O00051,10/10/25,October,2025,Main Menu,Pizza,Farmhouse,2,12.44,24.88,11.12,3.7,10.06,Swiggy,UPI
O00052,1/21/25,January,2025,Appetizer,Burger,Veg Cheese Burger,1,9.48,9.48,3.56,1.49,4.43,Swiggy,UPI
O00053,7/28/25,July,2025,Beverage,Juice,Mango Juice,1,4.98,4.98,1.87,0.78,2.33,Zomato,Card
O00054,1/13/25,January,2025,Main Menu,Club Veg,Corn & Mayo Club,4,10.44,41.76,18.42,8.16,15.18,Zomato,UPI
O00055,12/26/25,December,2025,Main Menu,Pizza,Margherita,1,13.7,13.7,6.07,1.82,5.81,In-Store,Card
O00056,8/24/25,August,2025,Appetizer,Macaroni,Cheese Mac,4,10.58,42.32,18.11,5.48,18.73,Zomato,Cash
O00057,4/9/25,April,2025,Appetizer,Macaroni,Veg Loaded Mac,4,12.81,51.24,19.1,7.03,25.11,Swiggy,UPI
O00058,11/25/25,November,2025,Beverage,Hot Drinks,Hot Chocolate,3,8.22,24.66,9.51,2.71,12.44,Swiggy,Cash
O00059,4/2/25,April,2025,Beverage,Hot Drinks,Espresso,2,8.95,17.9,6.05,2.32,9.53,Swiggy,Online
O00060,6/10/25,June,2025,Appetizer,French Fries,Salted Fries,1,12.79,12.79,5.18,1.74,5.87,In-Store,Card
O00061,1/23/25,January,2025,Beverage,Hot Drinks,Espresso,3,8.05,24.15,8.17,3.89,12.09,Zomato,UPI
